"Date","Name","Country",
"15 Dec 2018","Guangzhou Masters 2018","China","View inscriptions"
"8 Dec 2018","European Club Championships - Europa League","European Judo Union","View inscriptions"
"8 Dec 2018","European Club Championships - Champions League","European Judo Union","View inscriptions"
"1 Dec 2018","Hong Kong Asian Open 2018","Hong Kong","View inscriptions"
"24 Nov 2018","Yaounde African Open 2018","Cameroon","View inscriptions"
"23 Nov 2018","Osaka Grand Slam 2018","Japan","View inscriptions"
"17 Nov 2018","Dakar African Open 2018","Senegal","View inscriptions"
"17 Nov 2018","Perth Oceania Open 2018","Australia","View inscriptions"
"16 Nov 2018","The Hague Grand Prix 2018","Netherlands","View inscriptions"
"9 Nov 2018","Tashkent Grand Prix 2018","Uzbekistan","View inscriptions"
"3 Nov 2018","Aktau Asian Open 2018","Kazakhstan","View inscriptions"
"25 Oct 2018","Abu Dhabi Grand Slam 2018","United Arab Emirates","View inscriptions"
"20 Oct 2018","Malaga Senior European Cup 2018","Spain","View inscriptions"
"15 Oct 2018","Kata World Championships 2018","Mexico","View inscriptions"
"12 Oct 2018","Cancun Grand Prix 2018","Mexico","View inscriptions"
"6 Oct 2018","Glasgow European Open 2018","Great Britain","View inscriptions"
"20 Sep 2018","World Championships Seniors and Teams Baku 2018","Azerbaijan","View inscriptions"
"1 Sep 2018","Santo Domingo Panamerican Open 2018","Dominican Republic","View inscriptions"
"1 Sep 2018","Bratislava Senior European Cup 2018","Slovakia","View inscriptions"
"29 Aug 2018","18th Asian Games Jakarta 2018","Indonesia","View inscriptions"
"18 Aug 2018","Minsk European Open 2018","Belarus","View inscriptions"
"10 Aug 2018","Budapest Grand Prix 2018","Hungary","View inscriptions"
"27 Jul 2018","Zagreb Grand Prix 2018","Croatia","View inscriptions"
"18 Jul 2018","European Championship Mixed Teams 2018","Russia","View inscriptions"
"14 Jul 2018","Saarbrucken Senior European Cup 2018","Germany","View inscriptions"
"7 Jul 2018","Taipei Asian Open 2018","Chinese Taipei","View inscriptions"
"27 Jun 2018","XVIII Mediterranean Games Tarragona 2018","Spain","View inscriptions"
"23 Jun 2018","Celje-Podcetrtek Senior European Cup 2018","Slovenia","View results"
"9 Jun 2018","Belgrade Senior European Cup 2018","Serbia","View results"
"2 Jun 2018","Madrid European Open 2018","Spain","View results"
"25 May 2018","Hohhot Grand Prix 2018","China","View results"
"19 May 2018","European Kata Championships","Slovenia","View inscriptions"
"12 May 2018","Orenburg Senior European Cup 2018","Russia","View inscriptions"
"5 May 2018","Sarajevo Senior European Cup 2018","Bosnia and Herzegovina","View results"
"29 Apr 2018","Tours EJU Kata Tournament 2018","France","View inscriptions"
"26 Apr 2018","European Senior Championships 2018","Israel","View results"
"21 Apr 2018","Panamerican Senior Championships 2018","Costa Rica","View results"
"15 Apr 2018","African Senior Championships 2018 - TEAMS","Tunisia","View inscriptions"
"12 Apr 2018","7th African Kata Championships 2018","Tunisia","View inscriptions"
"12 Apr 2018","African Senior Championships 2018","Tunisia","View results"
"7 Apr 2018","Dubrovnik Senior European Cup 2018","Croatia","View results"
"6 Apr 2018","Oceania Senior Championships 2018","New Caledonia","View results"
"6 Apr 2018","Antalya Grand Prix 2018","Turkey","View results"
"30 Mar 2018","Tbilisi Grand Prix 2018","Georgia","View results"
"24 Mar 2018","Pordenone EJU Kata Tournament 2018","Italy","View inscriptions"
"24 Mar 2018","Buenos Aires Panamerican Open 2018","Argentina","View results"
"17 Mar 2018","Ekaterinburg Grand Slam 2018","Russia","View results"
"17 Mar 2018","Lima Panamerican Open 2018","Peru","View results"
"10 Mar 2018","Uster-Zurich Senior European Cup","Switzerland","View results"
"10 Mar 2018","Santiago Panamerican Open 2018","Chile","View results"
"9 Mar 2018","Agadir Grand Prix 2018","Morocco","View results"
"3 Mar 2018","Warsaw European Open 2018","Poland","View results"
"3 Mar 2018","Prague European Open 2018","Czech Republic","View results"
"25 Feb 2018","Brussels EJU Kata Tournament 2018","Belgium","View inscriptions"
"23 Feb 2018","Dusseldorf Grand Slam 2018","Germany","View results"
"17 Feb 2018","Rome European Open 2018","Italy","View results"
"17 Feb 2018","Oberwart European Open 2018","Austria","View results"
"10 Feb 2018","Paris Grand Slam 2018","France","View results"
"3 Feb 2018","Odivelas European Open 2018","Portugal","View results"
"3 Feb 2018","Sofia European Open 2018","Bulgaria","View results"
"19 Jan 2018","Tunis Grand Prix 2018","Tunisia","View results"
"16 Dec 2017","Masters St Petersburg 2017","Russia","View results"
"9 Dec 2017","Hong Kong Asian Open 2017","Hong Kong","View results"
"7 Dec 2017","XI Juegos Deportivos Centroamericanos NIC2017","Nicaragua","View inscriptions"
"2 Dec 2017","Tokyo Grand Slam 2017","Japan","View results"
"25 Nov 2017","Yaounde African Open 2017","Cameroon","View results"
"25 Nov 2017","European Club Championships - Golden League 2017","Turkey","View inscriptions"
"25 Nov 2017","European Club Championships - Europa League 2017","Germany","View inscriptions"
"18 Nov 2017","Dakar African Open 2017","Senegal","View results"
"17 Nov 2017","The Hague Grand Prix 2017","Netherlands","View results"
"11 Nov 2017","World Championships Open 2017","Morocco","View results"
"11 Nov 2017","Vanuatu Oceania Open 2017","Vanuatu","View results"
"28 Oct 2017","Malaga Senior European Cup 2017","Spain","View inscriptions"
"26 Oct 2017","Abu Dhabi Grand Slam 2017","United Arab Emirates","View results"
"7 Oct 2017","Santo Domingo Pan American Open 2017","Dominican Republic","View results"
"6 Oct 2017","Kata Grand Slam and World Kata Championship Olbia 2017","Italy","View inscriptions"
"6 Oct 2017","Tashkent Grand Prix 2017","Uzbekistan","View results"
"29 Sep 2017","Zagreb Grand Prix 2017","Croatia","View results"
"23 Sep 2017","Belgrade European Open 2017","Serbia","View results"
"9 Sep 2017","Bratislava Senior European Cup 2017","Slovakia","View results"
"28 Aug 2017","World Senior Championship 2017","Hungary","View results"
